iter	Passed	Remaining
727	5844	2183
728	5854	2176
729	5862	2168
730	5871	2160
731	5880	2152
732	5889	2145
733	5898	2137
734	5908	2130
735	5917	2122
736	5927	2115
737	5936	2107
738	5945	2099
739	5956	2092
740	5965	2085
741	5974	2077
742	5984	2069
743	5993	2062
744	6002	2054
745	6011	2046
746	6020	2039
747	6029	2031
748	6038	2023
749	6047	2015
750	6058	2008
751	6069	2001
752	6079	1994
753	6088	1986
754	6097	1978
755	6106	1971
756	6115	1963
757	6124	1955
758	6133	1947
759	6142	1939
760	6150	1931
761	6159	1923
762	6168	1916
763	6177	1908
764	6186	1900
765	6195	1892
766	6206	1885
767	6217	1878
768	6226	1870
769	6236	1862
770	6246	1855
771	6255	1847
772	6264	1839
773	6273	1831
774	6283	1824
775	6292	1816
776	6302	1808
777	6311	1801
778	6320	1793
779	6330	1785
780	6339	1777
781	6349	1769
782	6359	1762
783	6368	1754
784	6377	1746
785	6387	1739
786	6397	1731
787	6406	1723
788	6416	1715
789	6425	1708
790	6434	1700
791	6444	1692
792	6453	1684
793	6463	1676
794	6475	1669
795	6485	1662
796	6494	1654
797	6503	1646
798	6513	1638
799	6522	1630
800	6531	1622
801	6540	1614
802	6550	1606
803	6559	1599
804	6568	1591
805	6578	1583
806	6587	1575
807	6597	1567
808	6607	1560
809	6616	1552
810	6626	1544
811	6635	1536
812	6644	1528
813	6653	1520
814	6663	1512
815	6672	1504
816	6681	1496
817	6690	1488
818	6700	1480
819	6709	1472
820	6719	1464
821	6728	1456
822	6737	1449
823	6747	1441
824	6757	1433
825	6766	1425
826	6774	1417
827	6784	1409
828	6794	1401
829	6803	1393
830	6812	1385
831	6822	1377
832	6831	1369
833	6840	1361
834	6850	1353
835	6859	1345
836	6869	1337
837	6878	1329
838	6888	1321
839	6897	1313
840	6906	1305
841	6916	1297
842	6925	1289
843	6935	1281
844	6944	1273
845	6954	1265
846	6963	1257
847	6973	1249
848	6982	1241
849	6992	1233
850	7004	1226
851	7014	1218
852	7023	1210
853	7033	1202
854	7042	1194
855	7051	1186
856	7060	1178
857	7069	1170
858	7079	1162
859	7089	1154
860	7099	1146
861	7108	1137
862	7117	1129
863	7126	1121
864	7136	1113
865	7146	1105
866	7155	1097
867	7164	1089
868	7176	1081
869	7187	1073
870	7196	1065
871	7205	1057
872	7215	1049
873	7224	1041
874	7233	1033
875	7242	1025
876	7251	1017
877	7262	1009
878	7274	1001
879	7285	993
880	7295	985
881	7305	977
882	7314	969
883	7323	960
884	7332	952
885	7341	944
886	7351	936
887	7361	928
888	7370	920
889	7381	912
890	7393	904
891	7402	896
892	7412	888
893	7422	880
894	7431	871
895	7441	863
896	7451	855
897	7460	847
898	7470	839
899	7479	831
900	7489	822
901	7499	814
902	7508	806
903	7519	798
904	7530	790
905	7539	782
906	7548	774
907	7557	765
908	7567	757
909	7576	749
910	7586	741
911	7596	732
912	7605	724
913	7615	716
914	7624	708
915	7633	700
916	7643	691
917	7652	683
918	7661	675
919	7671	667
920	7680	658
921	7690	650
922	7699	642
923	7709	634
924	7718	625
925	7728	617
926	7739	609
927	7749	601
928	7758	592
929	7767	584
930	7776	576
931	7787	568
932	7797	559
933	7807	551
934	7817	543
935	7827	535
936	7836	526
937	7847	518
938	7860	510
939	7869	502
940	7878	494
941	7888	485
942	7897	477
943	7906	469
944	7915	460
945	7928	452
946	7937	444
947	7946	435
948	7956	427
949	7966	419
950	7975	410
951	7985	402
952	7994	394
953	8004	385
954	8014	377
955	8023	369
956	8033	360
957	8042	352
958	8052	344
959	8062	335
960	8071	327
961	8081	319
962	8090	310
963	8100	302
964	8110	294
965	8120	285
966	8129	277
967	8138	269
968	8148	260
969	8158	252
970	8168	243
971	8181	235
972	8190	227
973	8200	218
974	8209	210
975	8219	202
976	8228	193
977	8238	185
978	8247	176
979	8257	168
980	8266	160
981	8275	151
982	8285	143
983	8294	134
984	8304	126
985	8315	118
986	8324	109
987	8333	101
988	8343	92
989	8352	84
990	8361	75
991	8371	67
992	8380	59
993	8389	50
994	8398	42
995	8408	33
996	8417	25
997	8427	16
998	8436	8
999	8445	0
